region_id,estimation_id,data_type,operations_per_second,operations_count,arithmetic_intensity
576,0,int32,21300060194.632977,1018870256.0,2533.929523416341
576,0,int64,0.0,0,0.0
576,0,float32,30785961609.75496,1472620279.0,3662.4054728904653
576,0,float64,12438267403.536636,594973938.0,1479.6997147411905
6,0,int32,21297969637.953243,1018770256.0,2533.680823495179
6,0,int64,0.0,0,0.0
6,0,float32,30782548190.619423,1472457001.0,3661.99940063319
6,0,float64,12436176846.856903,594873938.0,1479.4510148200284
84,0,int32,0.0,0,0.0
84,0,int64,0.0,0,0.0
84,0,float32,0.0,0,0.0
84,0,float64,0.0,0,0.0
457,0,int32,0.0,0,0.0
457,0,int64,0.0,0,0.0
457,0,float32,0.0,0,0.0
457,0,float64,1709837479.5779912,81788621.0,203.4082359465892
546,0,int32,0.0,0,0.0
546,0,int64,0.0,0,0.0
546,0,float32,0.0,0,0.0
546,0,float64,1709837479.5779912,81788621.0,203.4082359465892
11,0,int32,19588899852.599182,937018357.0,2330.363915133639
11,0,int64,0.0,0,0.0
11,0,float32,22233360792.729465,1063513896.0,2644.9582209002438
11,0,float64,2177151969.388955,104142212.0,259.00159914049306
12,0,int32,16169224893.4432,773441115.0,1923.5474432404606
12,0,int64,0.0,0,0.0
12,0,float32,22233360792.729465,1063513896.0,2644.9582209002438
12,0,float64,2177151969.388955,104142212.0,259.00159914049306
580,0,int32,14459387413.86521,691652494.0,1720.1392072938713
580,0,int64,0.0,0,0.0
580,0,float32,22233360792.729465,1063513896.0,2644.9582209002438
580,0,float64,2177151969.388955,104142212.0,259.00159914049306
191,0,int32,0.0,0,0.0
191,0,int64,0.0,0,0.0
191,0,float32,854918750.241779,40894311.0,101.70411921679421
191,0,float64,0.0,0,0.0
58,0,int32,1709837479.5779912,81788621.0,203.4082359465892
58,0,int64,0.0,0,0.0
58,0,float32,0.0,0,0.0
58,0,float64,0.0,0,0.0
163,0,int32,0.0,0,0.0
163,0,int64,0.0,0,0.0
163,0,float32,0.0,0,0.0
163,0,float64,0.0,0,0.0
68,0,int32,1709837479.5779912,81788621.0,203.4082359465892
68,0,int64,0.0,0,0.0
68,0,float32,0.0,0,0.0
68,0,float64,0.0,0,0.0
462,0,int32,0.0,0,0.0
462,0,int64,0.0,0,0.0
462,0,float32,0.0,0,0.0
462,0,float64,0.0,0,0.0
100,0,int32,1709837479.5779912,81788621.0,203.4082359465892
100,0,int64,0.0,0,0.0
100,0,float32,0.0,0,0.0
100,0,float64,0.0,0,0.0
350,0,int32,0.0,0,0.0
350,0,int64,0.0,0,0.0
350,0,float32,0.0,0,0.0
350,0,float64,0.0,0,0.0
21,0,int32,0.0,0,0.0
21,0,int64,0.0,0,0.0
21,0,float32,854918750.241779,40894311.0,101.70411921679421
21,0,float64,0.0,0,0.0
13,0,int32,7620037495.553244,364498010.0,906.5062635075145
13,0,int64,0.0,0,0.0
13,0,float32,13684173332.12281,654570788.0,1627.9170337063003
13,0,float64,2177151969.388955,104142212.0,259.00159914049306
14,0,int32,7620037495.553244,364498010.0,906.5062635075145
14,0,int64,0.0,0,0.0
14,0,float32,5442879923.472387,260355530.0,647.5039978512327
14,0,float64,0.0,0,0.0
78,0,int32,6531461510.858767,312426904.0,777.0054639372679
78,0,int64,0.0,0,0.0
78,0,float32,5442879923.472387,260355530.0,647.5039978512327
78,0,float64,0.0,0,0.0
180,0,int32,0.0,0,0.0
180,0,int64,0.0,0,0.0
180,0,float32,0.0,0,0.0
180,0,float64,0.0,0,0.0
15,0,int32,5442885526.1642885,260355798.0,647.5046643670214
15,0,int64,0.0,0,0.0
15,0,float32,3265727954.083432,156213318.0,388.5023987107396
15,0,float64,0.0,0,0.0
555,0,int32,0.0,0,0.0
555,0,int64,0.0,0,0.0
555,0,float32,0.0,0,0.0
555,0,float64,0.0,0,0.0
295,0,int32,0.0,0,0.0
295,0,int64,0.0,0,0.0
295,0,float32,0.0,0,0.0
295,0,float64,0.0,0,0.0
562,0,int32,3265733556.775334,156213586.0,388.50306522652835
562,0,int64,0.0,0,0.0
562,0,float32,0.0,0,0.0
562,0,float64,0.0,0,0.0
511,0,int32,0.0,0,0.0
511,0,int64,0.0,0,0.0
511,0,float32,0.0,0,0.0
511,0,float64,0.0,0,0.0
585,0,int32,2177157572.080857,104142480.0,259.0022656562818
585,0,int64,0.0,0,0.0
585,0,float32,0.0,0,0.0
585,0,float64,0.0,0,0.0
513,0,int32,792010847.5358244,37885165.0,94.22037548714097
513,0,int64,0.0,0,0.0
513,0,float32,0.0,0,0.0
513,0,float64,0.0,0,0.0
411,0,int32,1381657689.9743898,66090420.0,164.3668224357173
411,0,int64,0.0,0,0.0
411,0,float32,0.0,0,0.0
411,0,float64,0.0,0,0.0
