region_id,estimation_id,level_name,traffic,read_traffic,write_traffic,bandwidth,read_bandwidth,write_bandwidth,bandwidth_utilization,read_bandwidth_utilization,write_bandwidth_utilization,traffic_defined_time,traffic_defined_read_time,traffic_defined_write_time,bytes_ck,read_bytes_ck,write_bytes_ck
48,0,l3,128.0,128.0,0.0,685714285.7142857,685714285.7142857,0.0,0.007936507936507936,0.007936507936507936,0.0,1.4814814814814814e-09,1.4814814814814814e-09,0.0,0.5079365079365079,0.5079365079365079,0.0
48,0,gti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0,llc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0,dram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0,l3,64.0,64.0,0.0,342857142.85714287,342857142.85714287,0.0,0.003968253968253968,0.003968253968253968,0.0,7.407407407407407e-10,7.407407407407407e-10,0.0,0.25396825396825395,0.25396825396825395,0.0
49,0,gti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0,llc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0,dram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0,l3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0,gti,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0,llc,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0,dram,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,0,l3,399641728.0,399640064.0,1664.0,44199011728.54703,44198827695.82381,184032.72322028957,0.08526043929117867,0.08526008428978357,3.550013951008672e-07,0.0007709138271604939,0.0007709106172839506,3.2098765432098764e-09,32.74000868781261,32.739872367276895,0.00013632053571873302
220,0,gti,399642623.99999994,399641940.99999994,683.0000000000001,44199110823.09029,44199035285.62036,75537.46992755878,0.12789094566866405,0.2557814541991919,4.37138136154854e-07,0.00231274271412037,0.00231274271412037,3.952546296296297e-09,32.740082091177996,32.740026137496564,5.595368142782131e-05
220,0,llc,399642623.99999994,399641940.99999994,683.0000000000001,44199110823.09029,44199035285.62036,75537.46992755878,0.12789094566866405,0.2557814541991919,4.37138136154854e-07,0.00231274271412037,0.00231274271412037,3.952546296296297e-09,32.740082091177996,32.740026137496564,5.595368142782131e-05
220,0,dram,399642623.99999994,399641940.99999994,683.0,44199110823.09029,44199035285.62036,75537.46992755876,0.9208148088143809,0.9208132351170909,1.573697290157474e-06,0.008325887999999998,0.008325873770833332,1.4229166666666666e-08,32.740082091177996,32.740026137496564,5.5953681427821306e-05
268,0,l3,399641088.0,399640064.0,1024.0,44197481036.998,44197367789.83213,113247.16587170826,0.08525748656828319,0.08525726811310211,2.1845518107968412e-07,0.0007709125925925926,0.0007709106172839506,1.9753086419753086e-09,32.738874842220746,32.73879095543121,8.388678953459871e-05
268,0,gti,399656960.0,399656277.0,683.0,44199236368.069016,44199160833.094124,75534.97489294603,0.12789130893538486,0.2557821807470725,4.3712369729714144e-07,0.0023128256770833335,0.0023128256770833335,3.952546296296296e-09,32.74017508745853,32.74011913562528,5.5951833254034104e-05
268,0,llc,399656960.0,399656277.0,683.0,44199236368.069016,44199160833.094124,75534.97489294603,0.12789130893538486,0.2557821807470725,4.3712369729714144e-07,0.0023128256770833335,0.0023128256770833335,3.952546296296296e-09,32.74017508745853,32.74011913562528,5.5951833254034104e-05
268,0,dram,399656960.0,399656277.0,683.0,44199236368.069016,44199160833.094124,75534.97489294603,0.9208174243347712,0.9208158506894608,1.573645310269709e-06,0.008326186666666667,0.0083261724375,1.4229166666666666e-08,32.74017508745853,32.74011913562528,5.5951833254034104e-05
