name,raw_value,mem_level,data_type,data_size,op_type,device
L3 Bandwidth,518400000000,0,,,,gen12_tgl
GTI Bandwidth,345600000000,1,,,,gen12_tgl
LLC Bandwidth,345600000000,2,,,,gen12_tgl
DRAM Bandwidth,48000000000.0,3,,,,gen12_tgl
Int32 ADD Peak,1036800000000.0,,int,32,ADD,gen12_tgl
Int64 ADD Peak,34560000000.0,,int,64,ADD,gen12_tgl
Float32 MAD Peak,2073600000000.0,,float,32,MAD,gen12_tgl
Float64 MAD Peak,69120000000.0,,float,64,MAD,gen12_tgl
Float32 ADD Peak,1036800000000.0,,float,32,ADD,gen12_tgl
Float64 ADD Peak,34560000000.0,,float,64,ADD,gen12_tgl
Float32 MATH Peak,259200000000.0,,float,32,MATH,gen12_tgl
